 I Know Why the Caged Bird Sings , Maya Angelou
 Mercier et Camier , Samuel Beckett
 Troubles , JG Farrell
 Jahrestage , Uwe Johnson
 The Atrocity Exhibition , JG Ballard 
 Tent of Miracles , Jorge Amado
 Pricksongs and Descants , Robert Coover
 Blind Man With a Pistol , Chester Hines
 Slaughterhouse-five ," Kurt Vonnegut, Jr"
 The French Lieutenant’s Woman , John Fowles
 The Green Man , Kingsley Amis
 Portnoy’s Complaint , Philip Roth
 The Godfather , Mario Puzo
 Ada , Vladimir Nabokov
 Them , Joyce Carol Oates
 The Cathedral , Oles Honchar
 A Void/Avoid , Georges Perec
 Eva Trout , Elizabeth Bowen
 Myra Breckinridge , Gore Vidal
 Day of the Dolphin , Robert Merle
 The Nice and the Good , Iris Murdoch
 Belle du Seigneur , Albert Cohen
 Cancer Ward , Aleksandr Isayevich Solzhenitsyn
 The Manor , Isaac Bashevis Singer
 The First Circle , Aleksandr Isayevich Solzhenitsyn
 2001: A Space Odyssey , Arthur C Clarke
 Z , Vassilis Vassilikos
 Do Androids Dream of Electric Sheep? , Philip K Dick
 Miramar , Naguib Mahfouz
 Dark as the Grave Wherein My Friend is Laid , Malcolm Lowry
 The German Lesson , Siegfried Lenz
 In Watermelon Sugar , Richard Brautigan
 A Kestrel for a Knave , Barry Hines
 The Quest for Christa T,  Christa Wolf
 Chocky , John Wyndham
 Marks of Identity , Juan Goytisolo
 The Electric Kool-Aid Acid Test , Tom Wolfe
 The Cubs and Other Stories , Mario Vargas Llosa
 One Hundred Years of Solitude , Gabriel García Márquez
 To Each His Own , Leonardo Sciascia
 The Master and Margarita , Mikhail Bulgakov
 Silence , Shusaku Endo
 Pilgrimage , Dorothy Richardson
 Death and the Dervish , Mesa Selimovic
 The Joke , Milan Kundera
 No Laughing Matter , Angus Wilson
 The Third Policeman , Flann O’Brien
 A Man Asleep , Georges Perec
" Garden, Ashes ", Danilo Kis
 The Birds Fall Down , Rebecca West
 Trawl , BS Johnson
 Closely Watched Trains , Bohumil Hrabal
 In Cold Blood , Truman Capote
 Back to Oegstgeest , Jan Wolkers
 The Magus , John Fowles
 The Vice-Consul , Marguerite Duras
 Wide Sargasso Sea , Jean Rhys
 The Three Trapped Tigers , Guillermo Cabrera Infante
 Giles Goat-Boy , John Barth
 The Crying of Lot 49 , Thomas Pynchon
 Things , Georges Perec
 The River Between , Ngugi wa Thiong’o
 August is a Wicked Month , Edna O’Brien
" God Bless You, Mr", Rosewater  Kurt Vonnegut
 Everything That Rises Must Converge , Flannery O’Connor
 The Passion According to G,H  Clarice Lispector
 Sometimes a Great Notion , Ken Kesey
" Come Back, Dr", Caligari  Donald Bartholme
 Albert Angelo , BS Johnson
 Arrow of God , Chinua Achebe
 Dog Years , Gunter Grass
 The Ravishing of Lol V, Stein  Marguerite Duras
 The Third Wedding , Costas Taktsis
 Herzog , Saul Bellow
 V,  Thomas Pynchon
 Cat’s Cradle , Kurt Vonnegut
 The Time of the Hero -Mario Vargas Llosa,
 The Graduate , Charles Webb
 The Death of Artemio Cruz , Carlos Fuentes
 Manon des Sources , Marcel Pagnol
 The Spy Who Came in from the Cold , John Le Carré
 The Girls of Slender Means , Muriel Spark
 Inside Mr, Enderby  Anthony Burgess
 The Bell Jar , Sylvia Plath
 Time of Silence , Luis Martin-Santos
 One Day in the Life of Ivan Denisovich , Aleksandr Isayevich Solzhenitsyn
 The Collector , John Fowles
 One Flew Over the Cuckoo’s Nest , Ken Kesey
 A Clockwork Orange , Anthony Burgess
 Memoirs of a Peasant Boy , Xose Neira Vilas
 Pale Fire , Vladimir Nabokov
 The Drowned World , JG Ballard
 No One Writes to the Colonel , Gabriel Garcia Marquez
 The Golden Notebook , Doris Lessing
 Labyrinths , Jorg Luis Borges
 Girl With Green Eyes , Edna O’Brien
 The Garden of the Finzi-Continis , Giorgio Bassani
 Stranger in a Strange Land , Robert Heinlein
 Franny and Zooey , JD Salinger
 A Severed Head , Iris Murdoch
 The Shipyard , Juan Carlos Onetti
 Faces in the Water , Janet Frame
 God’s Bits of Wood , Ousmane Sembene
